Lp;Nr paczki;Wysokość (cm);Szerokość (cm);Długość (cm);Waga (kg)
2650;NYX2L;25;19;19;1
2651;Z8UC7;6;20;20;4
2652;RAZGY;29;5;5;9
2653;R9GC2;13;30;30;10
2654;XJJ4Y;12;17;17;12
2655;L8RML;24;22;22;15
2656;L2AAT;16;25;25;10
2657;MZR74;13;20;20;9
2658;NP4DV;19;21;21;7
2659;TVV2X;26;15;15;7
2660;NP7WJ;27;16;16;10
2661;W9HDL;20;18;18;0
2662;TQDUQ;6;5;5;5
2663;W8GE6;18;8;8;1
2664;ASK5W;27;16;16;1
2665;7PJSF;22;12;12;8
2666;76V5T;19;21;21;9
2667;5SSDW;12;15;15;10
2668;5WC9H;20;16;16;6
2669;TVFZZ;28;18;18;14
2670;CZJMU;30;16;16;0
2671;7JAF3;7;28;28;5
2672;FDY29;10;20;20;13
2673;JVR3Z;10;14;14;6
2674;DWNGV;10;11;11;0
2675;VZH3R;11;6;6;9
2676;95GJG;10;23;23;14
2677;3GR3N;24;25;25;4
2678;J9S9Z;10;18;18;11
2679;RHM9A;7;8;8;12
2680;CDXQK;23;23;23;9
2681;KCBS5;7;27;27;12
2682;SSYZ3;6;13;13;8
2683;7TANM;26;11;11;5
2684;PXL7W;7;15;15;9
2685;BP5NN;21;12;12;15
2686;6RST7;18;5;5;14
2687;3495M;9;8;8;5
2688;5M6TD;22;24;24;7
2689;XRXY5;18;17;17;1
2690;ADTMA;24;22;22;12
2691;FNQB3;25;30;30;13
2692;48KMR;15;25;25;1
2693;HEKGA;7;24;24;7
2694;WCMSW;20;27;27;14
2695;RGDE7;16;18;18;2
2696;9FASS;13;6;6;14
2697;AY7Q2;25;7;7;14
2698;YKYAW;20;20;20;3
2699;FH3RQ;12;14;14;11
2700;3ESFX;27;5;5;15
2701;EX6H4;23;10;10;0
2702;3H93Z;15;13;13;8
2703;R4QNK;10;6;6;2
2704;HDV7D;17;6;6;6
2705;HDMBV;26;24;24;3
2706;35ZKB;6;17;17;2
2707;PQYKY;20;8;8;4
2708;SC7S5;11;25;25;14
2709;X9YEN;7;20;20;9
2710;9MSUJ;24;7;7;10
2711;W4N96;26;23;23;6
2712;92ZZC;7;7;7;10
2713;3ETSP;26;7;7;3
2714;HBSET;8;22;22;7
2715;M4TB8;24;12;12;14
2716;8BKQV;18;11;11;3
2717;UDQ8C;13;25;25;10
2718;L85CX;17;22;22;5
2719;854RM;24;28;28;0
2720;HYN25;14;11;11;7
2721;8DXRF;8;6;6;11
2722;VPH76;28;12;12;11
2723;4R9KQ;20;25;25;7
2724;CVN8X;16;17;17;3
2725;C7T6N;20;6;6;9
2726;6EDK6;17;20;20;4
2727;9HAWZ;5;19;19;13
2728;GJFPG;27;16;16;2
2729;BJXBT;15;16;16;2
2730;DEESD;21;18;18;7
2731;4UAMQ;25;7;7;1
2732;PJVSU;20;28;28;13
2733;SR4SE;17;9;9;0
2734;TZPYF;11;19;19;0
2735;V2PJ4;20;16;16;3
2736;9N9E6;14;8;8;6
2737;C8QDL;29;17;17;3
2738;7SUTA;22;24;24;6
2739;EBS8U;21;5;5;10
2740;WSKCH;27;5;5;2
2741;QXA68;22;20;20;6
2742;55L49;12;12;12;7
2743;G78XA;26;20;20;15
2744;JUS5E;16;23;23;1
2745;SAFB9;23;11;11;4
2746;ZYRB2;11;25;25;3
2747;ZSQZN;24;24;24;14
2748;NUJYN;29;12;12;13
2749;H7KGV;14;27;27;6
2750;KQF4L;11;13;13;2
2751;LMLRN;24;28;28;1
2752;LHC3K;6;12;12;4
2753;5T3KJ;19;22;22;2
2754;GY5QP;14;30;30;2
2755;HYLT6;5;13;13;2
2756;75MDX;13;17;17;12
2757;YQAB7;11;15;15;11
2758;PMFSF;21;19;19;4
2759;QMYJX;27;22;22;9
2760;8RM48;29;24;24;13
2761;3BWDV;25;27;27;12
2762;TBR7F;26;27;27;1
2763;FVVGX;12;13;13;6
2764;TVAYE;21;25;25;3
2765;FFS6Q;18;9;9;1
2766;F57TX;20;19;19;1
2767;6LZSQ;15;6;6;10
2768;LCS4A;28;14;14;4
2769;Y9WKG;24;8;8;9
2770;K54KU;13;26;26;11
2771;8R2QM;9;14;14;2
2772;GWGEG;24;21;21;1
2773;5ATUT;26;9;9;8
2774;A7VTZ;10;10;10;2
2775;WHZJT;5;21;21;9
2776;7TN25;26;23;23;13
2777;9YLZF;5;23;23;0
2778;X745C;16;23;23;5
2779;BZCVK;23;15;15;13
2780;VVGHE;6;29;29;12
2781;86NYE;12;21;21;0
2782;7WYLN;18;23;23;13
2783;TKD5A;11;10;10;14
2784;JT8DN;7;6;6;1
2785;AFED2;17;12;12;15
2786;PZNW9;12;21;21;15
2787;SV57K;27;21;21;3
2788;947XF;8;23;23;10
2789;KHQNC;19;28;28;8
2790;RXVQ3;20;12;12;8
2791;AQ8EU;22;29;29;2
2792;ZUKDH;12;12;12;12
2793;JW4DT;13;26;26;12
2794;EDNB3;29;6;6;0
2795;TMAA2;17;19;19;9
2796;CSQY8;15;18;18;5
2797;HYPG5;8;24;24;5
2798;97PKB;30;25;25;13
2799;XUXRX;28;22;22;0
2800;HW3VY;14;20;20;10
2801;VFBVF;8;10;10;7
2802;4YYJN;22;13;13;2
2803;XSDCZ;6;22;22;3
2804;8CXNN;19;16;16;10
2805;YB8NT;14;11;11;1
2806;WVFPG;19;22;22;4
2807;5AM7W;7;13;13;10
2808;T2LJA;17;12;12;9
2809;Z7T5A;17;8;8;1
2810;K4D8G;21;10;10;5
2811;RXJQB;27;13;13;12
2812;4CWAS;18;29;29;7
2813;56TH3;29;12;12;7
2814;F3TSB;9;9;9;2
2815;UJ9ED;27;6;6;7
2816;9P7DN;17;24;24;9
2817;EUBNA;18;30;30;9
2818;CHDZH;12;29;29;3
2819;VUDE4;10;27;27;15
2820;6LVQ4;12;26;26;7
2821;XBCWG;26;17;17;4
2822;GWVDZ;6;21;21;9
2823;AJKBW;13;13;13;1
2824;LE5P5;20;28;28;8
2825;CBQGF;23;17;17;12
2826;JDS6T;12;25;25;6
2827;LTVPF;16;23;23;9
2828;3W3PZ;26;15;15;7
2829;TP94R;14;23;23;12
2830;WFVSV;27;30;30;2
2831;RVW83;25;15;15;10
2832;4G6LD;14;24;24;2
2833;QXWCD;10;15;15;9
2834;46ZWL;22;12;12;11
2835;RF2RA;18;8;8;13
2836;HEF5X;23;10;10;5
2837;2LJPJ;11;24;24;11
2838;CHR9U;6;17;17;7
2839;UQHHS;30;16;16;9
2840;LBPCY;22;27;27;10
2841;ZU5SB;18;27;27;7
2842;5ZFBV;13;26;26;7
2843;447DH;14;20;20;11
2844;GGQYF;18;19;19;9
2845;AJVJR;22;17;17;5
2846;EVTUX;19;20;20;10
2847;HLHD4;30;27;27;14
2848;K8URA;11;8;8;8
2849;FK4DP;23;21;21;1
2850;BKVS9;8;9;9;6
2851;2SJN3;19;20;20;5
2852;2TNKD;18;19;19;3
2853;CTPKW;17;12;12;13
2854;HVV3C;24;17;17;3
2855;W9NQC;6;23;23;7
2856;3SMNA;6;27;27;4
2857;MFTWU;18;23;23;5
2858;LNDYY;13;23;23;3
2859;G3HWC;20;27;27;0
2860;65YSX;12;16;16;12
2861;2EWEV;20;26;26;1
2862;Y7DCL;16;6;6;8
2863;DQSWC;26;30;30;3
2864;D9QGY;13;16;16;5
2865;FPRPC;28;11;11;1
2866;UK7J4;26;8;8;15
2867;VA9JF;22;12;12;15
2868;U9DXC;14;21;21;0
2869;Q3S8Q;29;5;5;10
2870;VCPBJ;26;29;29;3
2871;EHYVW;26;17;17;13
2872;2F8YQ;5;26;26;0
2873;2LQ2U;6;22;22;1
2874;WLUZA;30;9;9;5
2875;WF3FE;23;14;14;15
2876;J2GY4;28;11;11;10
2877;R4BFP;16;29;29;5
2878;X8VVW;7;26;26;2
2879;BN9SE;22;28;28;15
2880;TERD6;20;16;16;6
2881;R2BK7;22;8;8;11
2882;GTXPH;20;18;18;13
2883;S6BTC;14;23;23;8
2884;RHBC4;8;24;24;14
2885;XEHWW;15;14;14;14
2886;MG34L;12;8;8;5
2887;XLDZV;18;28;28;10
2888;A8FYM;22;28;28;13
2889;NGJQ2;19;22;22;10
2890;M79NA;6;29;29;8
2891;4CFBZ;26;23;23;12
2892;3P7VH;17;27;27;11
2893;JKUMB;25;5;5;9
2894;FNALC;17;8;8;2
2895;MZKWF;19;25;25;12
2896;C9DCM;10;27;27;1
2897;E6QK8;24;30;30;0
2898;FDMDZ;11;25;25;5
2899;VMAFZ;9;23;23;8
2900;CMDCY;24;23;23;15
2901;GQPRC;6;15;15;0
2902;VUCZW;26;29;29;15
2903;Q6T6F;7;29;29;11
2904;RBK5E;18;14;14;1
2905;ARSBX;18;20;20;1
2906;HEALG;21;16;16;6
2907;ZSXEA;6;7;7;12
2908;Z2U3S;18;5;5;15
2909;HHN2E;9;20;20;10
2910;UJF5D;25;11;11;8
2911;K6V38;24;29;29;1
2912;JBCKM;29;18;18;12
2913;KA68F;16;11;11;2
2914;6X8RR;11;7;7;4
2915;QZZ5R;29;9;9;10
2916;5PZBK;6;26;26;1
2917;5MGRF;26;27;27;15
2918;EZGHB;22;28;28;6
2919;USCQQ;11;10;10;4
2920;JMEG5;23;30;30;7
2921;WXUNS;21;13;13;7
2922;BJ73K;5;5;5;8
2923;HXWPE;11;21;21;15
2924;3U6A3;7;29;29;1
2925;8UKAA;16;18;18;9
2926;2JM7Q;20;21;21;13
2927;HTD38;16;22;22;10
2928;W5GUX;15;25;25;0
2929;S3LEH;23;22;22;5
2930;R83N9;13;25;25;5
2931;VLT7L;29;11;11;9
2932;UXU7V;26;10;10;3
2933;BFEF8;5;23;23;12
2934;D33KM;29;12;12;13
2935;Q3F38;29;21;21;9
2936;NK7GX;17;25;25;9
2937;639QY;20;11;11;3
2938;LAN78;10;16;16;12
2939;99DEE;5;30;30;8
2940;BH85T;29;7;7;14
2941;LLMRE;13;30;30;3
2942;K6PHC;14;22;22;0
2943;DE5DU;28;23;23;2
2944;UPU8M;11;17;17;7
2945;S8LVC;27;16;16;4
2946;QXLPT;27;30;30;14
2947;5Z5GG;20;8;8;1
2948;ASCP2;28;17;17;15
2949;FT6BW;28;15;15;11
2950;RVCBU;24;17;17;4
2951;PUSZG;14;14;14;7
2952;VG68V;11;25;25;7
2953;P3LKA;19;10;10;15
2954;TKTWZ;30;7;7;11
2955;K3JG4;7;11;11;0
2956;7XQ9Z;9;30;30;10
2957;BNKTE;22;14;14;13
2958;SFLND;18;15;15;14
2959;837JD;20;10;10;5
2960;74NRQ;24;13;13;9
2961;E2HP9;17;10;10;11
2962;CLWTK;8;19;19;11
2963;MUYXE;27;16;16;3
2964;4FKFU;7;30;30;11
2965;PDNMN;11;15;15;14
2966;RKG62;23;21;21;4
2967;WAT6P;23;12;12;0
2968;S92ES;16;24;24;11
2969;BSC2F;17;19;19;2
2970;HVMT2;14;22;22;13
2971;786KK;12;17;17;5
2972;J2UQW;13;21;21;14
2973;MDX69;9;17;17;3
2974;DN95T;7;18;18;13
2975;R7BUX;25;18;18;7
2976;H4KUM;9;14;14;3
2977;BSK73;6;9;9;11
2978;VGUGW;12;20;20;4
2979;HT27Q;12;8;8;15
2980;2A5Z5;20;18;18;2
2981;NH2Q4;7;9;9;15
2982;QYWZK;11;13;13;4
2983;933KZ;6;22;22;4
2984;V77FD;25;16;16;4
2985;UPXLL;23;10;10;9
2986;EDL94;6;17;17;1
2987;GNC94;29;6;6;6
2988;6PSTF;24;21;21;15
2989;3S8V4;11;25;25;7
2990;YGZVN;16;21;21;5
2991;5G3TT;29;22;22;15
2992;EXWQX;7;8;8;9
2993;RXBTW;5;17;17;9
2994;6QCP9;24;13;13;10
2995;JGSH4;27;9;9;0
2996;L7ACT;30;16;16;3
2997;N7ZGR;25;12;12;15
2998;JLF73;9;6;6;11
2999;4NQ68;24;24;24;9
3000;D2NGF;9;29;29;2
3001;MQN6Y;5;15;15;5
3002;GHVHK;23;14;14;15
3003;EVH64;30;27;27;1
3004;YFE6C;7;29;29;5
3005;7ZRNV;9;8;8;1
3006;PSN3Y;13;30;30;4
3007;UFF8B;25;25;25;12
3008;6FJRN;26;29;29;15
3009;UWA3S;22;13;13;12
3010;4SX8P;5;30;30;11
3011;Z6EGK;14;12;12;15
3012;ZW3EP;10;22;22;7
3013;SYVYX;10;11;11;7
3014;XU48B;8;13;13;5
3015;GSXGL;29;9;9;0
3016;GA559;16;17;17;11
3017;JU6N3;18;30;30;11
3018;FEP8J;12;29;29;15
3019;5R9QF;24;5;5;0
3020;WEZQC;17;20;20;2
3021;3XUR5;5;18;18;13
3022;7X62S;8;9;9;11
3023;6AD2P;18;21;21;4
3024;77UM6;13;23;23;3
3025;5HM4Y;6;23;23;12
3026;SQ4J7;15;14;14;2
3027;6CURT;6;30;30;2
3028;QNHME;5;22;22;8
3029;ZJF5A;24;24;24;5
3030;V38FE;15;24;24;14
3031;5ANH5;20;5;5;6
3032;C2K6A;23;30;30;7
3033;H3D4J;27;20;20;1
3034;WJW5W;6;9;9;14
3035;3V69R;12;22;22;0
3036;7UJ6Z;14;25;25;12
3037;P2Z49;12;6;6;4
3038;V6Z62;19;14;14;4
3039;2ET58;7;20;20;14
3040;4SHQM;8;21;21;1
3041;6J92H;22;17;17;4
3042;RY32U;23;10;10;3
3043;SFMJ9;13;29;29;5
3044;L56C2;19;19;19;4
3045;X47GY;25;21;21;15
3046;5AGDR;29;8;8;0
3047;U92U2;15;5;5;4
3048;9BQ23;5;15;15;5
3049;BK9NU;13;25;25;1
3050;9ZQ53;14;29;29;9
3051;HSWEZ;27;11;11;5
3052;LA2TD;17;19;19;5
3053;JDDAY;26;19;19;0
3054;59ZL2;15;7;7;13
3055;SNBR2;21;20;20;15
3056;WQSCL;29;17;17;6
3057;KK48Q;16;5;5;7
3058;TJQL4;14;21;21;8
3059;UU8XU;14;27;27;13
3060;WTTM5;23;14;14;9
3061;K5HMM;17;10;10;9
3062;A94TB;5;19;19;4
3063;E5M93;15;17;17;15
3064;3SCH5;29;24;24;12
3065;63P4R;12;22;22;3
3066;9QBT4;25;29;29;5
3067;64XEF;24;20;20;1
3068;BFF5Y;8;28;28;2
3069;GATT9;27;13;13;9
3070;MMRPU;14;20;20;13
3071;MKN2E;7;7;7;4
3072;6ZU7J;11;12;12;15
3073;N4DC8;19;29;29;9
3074;KEEQ9;11;21;21;14
3075;5X9PG;22;27;27;9
3076;82UQF;8;10;10;11
3077;E3RTU;23;16;16;1
3078;VPLGM;13;29;29;0
3079;UVFYX;30;14;14;10
3080;E94JQ;17;30;30;0
3081;3ED3T;5;24;24;8
3082;L2K6H;30;17;17;1
3083;RBA8U;18;23;23;5
3084;UUA62;13;22;22;14
3085;MRMTG;10;26;26;10
3086;BXG58;15;20;20;0
3087;WXC2Q;17;22;22;11
3088;VCH79;21;21;21;12
3089;QNARL;25;25;25;1
3090;VC6V9;29;17;17;0
3091;X9RAT;23;18;18;1
3092;XCG58;17;27;27;5
3093;ESVHJ;7;24;24;8
3094;C4MKZ;9;6;6;5
3095;L2DMH;30;11;11;0
3096;Q8KMU;11;7;7;1
3097;JATZB;6;9;9;10
3098;CPEKJ;24;21;21;4
3099;CQ3YX;14;22;22;9
3100;C2RQC;29;20;20;5
3101;H24MD;29;28;28;7
3102;B4CMF;6;24;24;7
3103;WVGGM;5;7;7;5
3104;JJ2PU;29;13;13;3
3105;BRA5F;21;8;8;13
3106;X78FM;21;6;6;12
3107;APE52;30;22;22;2
3108;J7ULJ;21;8;8;15
3109;2869E;20;22;22;0
3110;JJPBX;14;22;22;2
3111;9CFA7;13;23;23;10
3112;LY5K6;13;13;13;3
3113;HLKMG;16;12;12;13
3114;CWDX8;10;11;11;8
3115;NP7KP;11;26;26;3
3116;CTXSV;15;22;22;14
3117;LSXRS;22;27;27;7
3118;V4GRD;27;16;16;10
3119;CYQNC;15;23;23;5
3120;WQY2D;12;12;12;14
3121;XESUQ;18;17;17;10
3122;8WAVE;20;30;30;14
3123;V7WJP;28;17;17;8
3124;F6HNM;15;7;7;12
3125;MQC45;24;24;24;6
3126;EQK4G;5;13;13;2
3127;NRM7C;15;14;14;13
3128;35Z3Q;6;24;24;8
3129;5PNSX;15;8;8;7
3130;4YUCC;23;6;6;15
3131;8PTAJ;22;24;24;6
3132;NEZX9;8;17;17;7
3133;7CQKA;16;5;5;0
3134;SD5J7;27;15;15;7
3135;LDLZW;28;29;29;15
3136;9TMUV;23;19;19;14
3137;PSB9S;26;7;7;4
3138;KMXAB;11;8;8;14
3139;W8EDJ;24;30;30;8
3140;EWM96;19;23;23;12
3141;JLAUB;10;17;17;15
3142;WUUAE;11;24;24;10
3143;FPXHP;22;17;17;14
3144;GS25T;26;5;5;9
3145;4RR8U;11;15;15;11
3146;ZCGDC;12;20;20;3
3147;DMND7;18;5;5;10
3148;Q2RA2;29;21;21;15
3149;WGGKP;16;14;14;15
3150;VR8NM;18;18;18;10
3151;RH49F;6;26;26;3
3152;PZJW4;5;22;22;8
3153;MZF24;26;25;25;7
3154;CGUUG;10;18;18;11
3155;MGPTS;6;20;20;12
3156;4FA3T;10;7;7;6
3157;MJ2GH;20;8;8;3
3158;8W8HJ;15;20;20;9
3159;2UA8L;15;7;7;15
3160;5ASPV;9;26;26;14
3161;Z34EL;16;6;6;6
3162;L9RM2;18;11;11;2
3163;BYB37;21;13;13;5
3164;K2TH9;28;8;8;10
3165;4AT48;20;17;17;10
3166;6X9PD;7;5;5;10
3167;VE6PK;30;8;8;4
3168;H2KZD;11;12;12;6
3169;C24DU;6;22;22;4
3170;ZNLKW;24;30;30;5
3171;LDX67;5;20;20;11
3172;W2UWF;11;8;8;2
3173;YHKUW;14;26;26;3
3174;V4N6T;6;5;5;7
3175;S8KLC;23;5;5;10
3176;6CRHM;21;23;23;4
3177;ETQ3P;21;17;17;1
3178;NQF9C;6;12;12;8
3179;LXLWJ;24;8;8;2
3180;8JCME;17;14;14;5
3181;W6D7G;7;11;11;4
3182;G4KXB;30;10;10;4
3183;W4UDW;9;5;5;5
3184;9RCFQ;10;7;7;10
3185;FSERF;27;25;25;14
3186;NQPR4;20;17;17;5
3187;UDYXB;30;10;10;10
3188;665GT;28;18;18;7
3189;65MR8;16;10;10;7
3190;ARPCW;20;18;18;13
3191;6HEAZ;30;28;28;2
3192;KPFY6;28;23;23;0
3193;9JAX8;9;8;8;2
3194;BU473;11;20;20;0
3195;N4W2K;23;19;19;13
3196;U22A5;8;7;7;9
3197;N7CT7;18;18;18;9
3198;44M9T;21;12;12;6
3199;J94JX;10;19;19;6
3200;2LJVH;15;11;11;11
3201;B9BX2;13;7;7;0
3202;MHSDJ;30;18;18;2
3203;MSFQB;23;10;10;2
3204;DJ6QJ;27;18;18;4
3205;PYJH9;23;9;9;2
3206;7AKFV;13;12;12;13
3207;THVU6;21;28;28;3
3208;M7E5B;20;23;23;3
3209;NHTTY;11;25;25;14
3210;VW9RD;30;20;20;8
3211;H64SE;22;8;8;3
3212;3QEDW;25;23;23;8
3213;ZW5LH;18;8;8;14
3214;ZYF5T;6;13;13;0
3215;GJ323;11;12;12;2
3216;RMQR4;22;5;5;1
3217;UZYNH;7;9;9;1
3218;4GX9K;10;23;23;12
3219;KY8EB;17;7;7;5
3220;F6ZL2;5;27;27;6
3221;KTADK;20;8;8;1
3222;3VWJC;27;26;26;13
3223;Q43FH;12;15;15;2
3224;AAPY9;20;20;20;6
3225;Z9YXE;25;7;7;9
3226;Z5ARG;5;13;13;10
3227;22Z25;21;29;29;10
3228;AURW4;11;26;26;8
3229;TDXLJ;28;24;24;8
3230;6MJLB;29;9;9;5
3231;HBB7Z;24;19;19;2
3232;FXUGE;30;21;21;6
3233;287SZ;16;21;21;14
3234;3SKJF;28;19;19;11
3235;E3J4E;24;19;19;11
3236;TYS3A;13;6;6;5
3237;UBCW9;26;11;11;8
3238;34WNA;26;5;5;12
3239;3F9YX;23;15;15;5
3240;YRFA2;7;29;29;4
3241;MFUW9;18;27;27;7
3242;ZFYJ9;8;14;14;7
3243;Z4A3R;15;19;19;0
3244;9VKW9;30;17;17;11
3245;KPEKE;22;8;8;12
3246;39W9A;25;15;15;5
3247;NMF99;20;6;6;6
3248;EYE48;22;9;9;13
3249;ET3EM;12;26;26;5
3250;JE8T3;17;10;10;7
3251;85GCE;25;11;11;9
3252;M6E96;23;17;17;13
3253;ENHLM;11;19;19;8
3254;GQBMK;8;8;8;12
3255;AR53W;23;5;5;3
3256;GC3FV;12;17;17;13
3257;UDR3G;14;13;13;4
3258;WED3E;23;6;6;6
3259;A8THJ;18;20;20;1
3260;6QZ84;22;29;29;14
3261;B8L62;7;11;11;8
3262;9D42K;13;29;29;13
3263;QLN8E;27;29;29;13
3264;VUKZN;9;10;10;8
3265;PZL89;30;18;18;14
3266;V5QL4;16;23;23;6
3267;KN3VJ;8;9;9;14
3268;TVNNM;20;7;7;5
3269;X4YC3;22;23;23;9
3270;4XMDP;7;25;25;7
3271;2TFCS;14;15;15;0
3272;FYMVB;6;6;6;13
3273;F6P8S;12;13;13;4
3274;XSDB6;25;30;30;1
3275;RYZF2;21;23;23;13
3276;SAQ6E;14;26;26;15
3277;6WYCZ;19;21;21;8
3278;GHPU5;18;7;7;9
3279;QZZ5Y;26;19;19;0
3280;JTHNV;27;7;7;6
3281;D5L5A;6;5;5;14
3282;DMBUJ;18;19;19;4
3283;GR66T;20;27;27;0
3284;VC2BX;29;11;11;7
3285;WRPNM;11;21;21;14
3286;DW7LA;23;10;10;11
3287;TQ56K;9;24;24;7
3288;6AX8V;15;7;7;14
3289;7EC4A;23;23;23;11
3290;VPDNR;20;23;23;4
3291;2A9FP;8;22;22;0
3292;MKBJW;8;18;18;5
3293;C4C8Z;24;14;14;2
3294;N4ZC2;8;8;8;2
3295;L97N4;11;9;9;15
3296;7AJBP;27;17;17;3
3297;Z4QY9;22;19;19;3
3298;5BK7L;25;21;21;11
3299;79EA7;28;5;5;14
3300;6N2VR;15;27;27;10
3301;T8RQM;11;26;26;2
3302;KNMTP;19;22;22;3
3303;3JHH8;15;22;22;13
3304;HDASA;30;22;22;11
3305;LQ9RQ;12;20;20;10
3306;7M5X9;24;22;22;3
3307;LG73W;24;20;20;4
3308;JDBWW;17;11;11;2
3309;QP7YX;12;11;11;0
3310;5826R;6;5;5;11
3311;2H72Y;12;15;15;14
3312;NYCHM;19;14;14;14
3313;BUU9M;8;7;7;3
3314;GJRJ6;5;23;23;5
3315;DYKAP;30;12;12;6
3316;96NZ2;15;15;15;5
3317;5S93J;28;25;25;0
3318;YF83P;5;8;8;6
3319;L4964;9;24;24;9
3320;MDC4M;11;14;14;10
3321;88CJ8;20;23;23;4
3322;SH568;17;24;24;7
3323;W2RWU;18;7;7;2
3324;2M2ZE;27;27;27;15
3325;GB8F8;13;30;30;10
3326;3TB5N;27;16;16;3
3327;P4LRC;29;9;9;9
3328;KALF7;19;26;26;12
3329;K3X2Q;24;11;11;13
3330;JS3AJ;21;24;24;2
3331;7GK6N;20;22;22;14
3332;HX8KT;17;17;17;11
3333;LZMXH;9;7;7;8
3334;Q9H3E;6;25;25;11
3335;EC845;15;20;20;7
3336;PCNGD;20;29;29;1
3337;WDL7A;18;21;21;5
3338;ZFXXR;16;14;14;1
3339;GAHUY;8;23;23;11
3340;QBXX4;26;21;21;2
3341;4463X;18;12;12;10
3342;ZG2EN;19;20;20;13
3343;62SGY;13;26;26;8
3344;T86GW;23;28;28;14
3345;MPWUA;17;8;8;1
3346;MBBAZ;13;11;11;0
3347;55TZW;27;14;14;9
3348;HR59W;28;18;18;15
3349;J5N3C;7;8;8;8
3350;CLA8S;29;18;18;2
3351;WL8K7;12;15;15;1
3352;9W8AX;24;21;21;13
3353;X5THV;18;14;14;1
3354;GQDBP;21;9;9;3
3355;ZKKEC;12;18;18;13
3356;MGNMF;16;5;5;12
3357;79S6K;23;22;22;8
3358;P57N6;11;14;14;0
3359;VC2EK;19;27;27;15
3360;ML2RN;23;28;28;13
3361;GHXRM;8;27;27;5
3362;24UFF;16;30;30;7
3363;2DFJA;11;15;15;2
3364;RY6NC;22;28;28;7
3365;2AESE;24;5;5;11
3366;Q6RGN;21;9;9;1
3367;5PVT6;18;15;15;14
3368;9LYTS;16;21;21;0
3369;6KVCU;13;27;27;10
3370;WTJS8;29;14;14;5
3371;LK8R3;27;14;14;9
3372;D7XUE;18;19;19;13
3373;BQUX9;17;7;7;7
3374;QWLFG;16;29;29;1
3375;4CRQE;26;27;27;3
3376;BCYKV;7;14;14;11
3377;WW6VD;30;19;19;4
3378;XZBMK;15;20;20;13
3379;GP22C;17;10;10;2
3380;2HZCN;19;15;15;2
3381;76QPL;30;6;6;8
3382;VRPL3;15;16;16;12
3383;A9P6V;18;11;11;6
3384;TULV7;8;20;20;12
3385;V3MNT;5;16;16;15
3386;QE2FG;12;20;20;7
3387;FDCWS;10;26;26;5
3388;PJA4U;16;14;14;11
3389;35UHZ;5;6;6;4
3390;F3LRN;9;22;22;0
3391;HDFVR;9;13;13;15
3392;ZBVSH;30;18;18;11
3393;3YL6L;28;19;19;15
3394;5KU5E;16;18;18;13
3395;FXAZ7;16;29;29;15
3396;Z6YCN;29;8;8;2
3397;CKRH7;19;27;27;5
3398;898TR;25;9;9;6
3399;FMGSH;26;26;26;13
3400;SMTDH;12;7;7;1
3401;YJ6YA;28;11;11;5
3402;3Q7SS;9;14;14;6
3403;KU424;30;22;22;3
3404;ZY3XJ;15;25;25;4
3405;K5VRM;15;10;10;11
3406;49YMD;6;19;19;7
3407;8BM5Z;7;13;13;9
3408;NXGKF;28;20;20;1
3409;YUZSL;23;6;6;14
3410;THBL6;19;14;14;10
3411;KW26D;9;16;16;11
3412;DZD4D;5;28;28;6
3413;G2FUV;24;23;23;13
3414;78JDH;8;6;6;3
3415;P34FK;26;14;14;0
3416;FYSGB;23;25;25;1
3417;PSXFP;19;19;19;14
3418;3KF6D;18;30;30;8
3419;JD5PX;18;8;8;15
3420;QLWZP;30;15;15;4
3421;6FHYL;13;12;12;11
3422;S5BBC;17;6;6;15
3423;CRU2X;20;6;6;9
3424;AT8FQ;30;20;20;15
3425;BPT75;24;24;24;7
3426;HNG6D;29;14;14;4
3427;V2K5Q;12;22;22;14
3428;VMLWP;19;19;19;0
3429;NZ69R;13;15;15;14
3430;UABSF;22;28;28;7
3431;SUVBR;25;9;9;12
3432;QK5WF;30;19;19;14
3433;9J8JD;22;23;23;12
3434;P5RZS;23;8;8;4
3435;6EJ3E;17;30;30;3
3436;2ME46;14;14;14;9
3437;KLQ6M;19;27;27;3
3438;8MX39;20;12;12;7
3439;52H3A;8;14;14;3
3440;MG648;9;8;8;12
3441;PZCYS;21;7;7;14
3442;GQ6MJ;5;12;12;10
3443;3WUJT;6;15;15;11
3444;8G6WA;24;15;15;8
3445;6R2DK;30;9;9;8
3446;3RRYK;20;18;18;9
3447;QEAS4;21;11;11;11
3448;TZKQC;5;7;7;4
3449;UJZES;21;25;25;14
3450;KDYF2;15;6;6;5
3451;ZBHSF;5;24;24;13
3452;TKWBA;6;6;6;13
3453;8RE9A;30;17;17;6
3454;9TZJ9;21;30;30;4
3455;44HU9;21;13;13;15
3456;25CRA;17;12;12;5
3457;5GCDY;24;20;20;7
3458;JWA7X;10;21;21;9
3459;A5FF5;7;18;18;6
3460;FEN7N;19;16;16;6
3461;N2GWL;14;13;13;6
3462;GNFK5;13;17;17;6
3463;GEBJH;27;7;7;5
3464;2T52Q;16;11;11;6
3465;T2LY7;18;17;17;10
3466;F6BU4;8;13;13;5
3467;Q8UXU;15;6;6;4
3468;659BE;30;29;29;14
3469;4HK6S;6;11;11;8
3470;SWBNN;19;17;17;3
3471;S7F4W;28;16;16;2
3472;DATFU;29;25;25;2
3473;MVS7K;22;8;8;3
